,Al-Shayeb B,Barendregt A,Batey RT,Bhuiya A,Cate JH,Cofsky JC,Coyle SM,Doherty EA,Doudna JA,East-Seletsky A,Ehrenberg AJ,Escajeda AM,Fletcher DA,Floor SN,Fraser CS,Giannikopoulos P,Gildea HK,Harrington LB,Harris AR,Haurwitz RE,Hershey JW,Hirsh A,Hsu PD,Ke A,Khalid MM,Kidwell MA,Kornfeld JE,Kranzusch PJ,Kumar GR,Lareau LF,Lew RJ,Lobba MJ,MacRae IJ,Moehle EA,Mok A,Mortimer SA,Noland CL,Nuñez JK,Oakes BL,Pestal K,Staahl BT,Stahl EC,Sternberg SH,Switz NA,Szostak JW,Taha TY,Tan MX,Urnov FD,Watters KE,Wiedenheft B,Wright AV
Al-Shayeb B,1.0000000000000002,0.22106041975348253,0.3628403201441938,0.33170057810363185,0.33760664465009327,0.47163719897063433,0.28494121913988874,0.372405946773891,0.4033431359780125,0.39084665479923486,0.3906256670524643,0.38550167443278693,0.25505237581558615,0.26881760755210843,0.3522085655594814,0.3013943904828819,0.5577830850504942,0.6112557247001705,0.31039622439422776,0.3401955208835915,0.2953727983582601,0.47893595390388055,0.277462775452336,0.3191772769194179,0.23655207126343972,0.3626632761567896,0.36404004246068083,0.46558285143911526,0.2072847544466815,0.3820469226771481,0.6289106664456757,0.5290535467044897,0.409007379899719,0.382966124599627,0.47628416775575677,0.3062851750277027,0.377943522598294,0.6082681983428394,0.4791813802915785,0.49030676528168715,0.49305218677885887,0.5623145090744638,0.42462991331668215,0.2590469394303266,0.27634936173367314,0.242555499142729,0.25071373214884163,0.3523727719542785,0.6739056641484016,0.3065661457516264,0.42292417311187597
Barendregt A,0.22106041975348253,0.9999999999999997,0.45057883123540915,0.2297875826593925,0.4467542240280235,0.21222594025932928,0.4299005076151882,0.3869517454359105,0.44491195334289557,0.340388740542501,0.22912349752723532,0.2966099093261874,0.3192490176093294,0.34280387102320264,0.40970197911136597,0.3613019872947641,0.2971981311019919,0.3062990472893333,0.3145475616273585,0.5061401817079059,0.369686393556401,0.2594226867889674,0.2563676707196341,0.3255434152426324,0.2621770084697555,0.3843958768331966,0.6387807538338396,0.25602459738715366,0.33506299213810126,0.24766488553634453,0.2517051677756109,0.292950101970197,0.33021420690962194,0.18011585071607933,0.3376718291298948,0.3822724250531467,0.4174438722744218,0.3253829574758474,0.3147725837102059,0.21572966610122843,0.3973843086528424,0.2305649538180901,0.4367289276392924,0.3226561470939596,0.40624590794787624,0.2845112128565427,0.2327551198171256,0.32210339969731694,0.3173961834006373,0.5826361882579892,0.3321897805945858
Batey RT,0.3628403201441938,0.45057883123540915,0.9999999999999998,0.15836086901386076,0.5451312296980104,0.4016292802671803,0.46256428318317383,0.880980033453379,0.7037651236861414,0.4869451053556597,0.30836120161909025,0.25356337133593176,0.43290692125654356,0.4701103776031871,0.4889855501664992,0.4827737611455761,0.2661907325779881,0.33202665231795564,0.2214252266805026,0.4210680659073669,0.4984173634812461,0.24433428791267892,0.32589970104810917,0.4796309484295206,0.18113333927121877,0.5749509275521508,0.4323614406546039,0.4362843460648174,0.32144898192207766,0.3210817179633414,0.39868451794173654,0.3763414980634647,0.49699543692275233,0.32936293124643845,0.4067329246580128,0.5264724750555766,0.5782557625477273,0.39966214258431065,0.3561731970790075,0.23003023950608348,0.4213329192717516,0.2815523620505257,0.4464501559390179,0.33896591309301477,0.5255145238153026,0.18990822559316278,0.33435106038654056,0.3793374909973015,0.5071456644440977,0.45484090635786584,0.3826107656691582
Bhuiya A,0.33170057810363185,0.2297875826593925,0.15836086901386076,1.0000000000000002,0.25734764121941245,0.3501868463280464,0.24235574498699203,0.157341076726322,0.22331012709349374,0.3965825298835896,0.32405579566280907,0.6750572589444799,0.5288960157883804,0.22256007169471828,0.31245529346138584,0.15603966532889957,0.3714153165559605,0.29249397595802135,0.7078161928685239,0.24886474951956922,0.22498761109732365,0.41018664330475574,0.3671868155155279,0.337844288849762,0.48831232393497326,0.2480541215880307,0.21100759181387296,0.27586862941856505,0.5594023338363316,0.4114280357787468,0.4519605724867528,0.4588825015934905,0.2704866723131421,0.2507819911497216,0.5397076662028878,0.20585491732885544,0.27406117773252986,0.33143280810341985,0.3484599824478668,0.42497026856699804,0.27047575727340545,0.39231450939091556,0.29557748853536636,0.7258355898831679,0.5463497267952823,0.431053354271463,0.4121603535685752,0.30138576546517015,0.3475041638371412,0.22264829204364,0.3427143516277079
Cate JH,0.33760664465009327,0.4467542240280235,0.5451312296980104,0.25734764121941245,0.9999999999999999,0.37013841935221137,0.394594096485203,0.4898140576092586,0.6081385412958494,0.4112474512492595,0.28052328575268626,0.40577947138838744,0.344287813297384,0.30819114209018983,0.46212719792462714,0.35626340438307746,0.2106040071124463,0.44581030250922393,0.09134705892858366,0.37035254718698213,0.44128518169913844,0.2871975284571689,0.27869952139776233,0.4233881458352986,0.0802781600317252,0.4492199686083749,0.3309242507400267,0.4558070839352835,0.15080511351859271,0.28127922373797737,0.34114857922612757,0.27544601680033404,0.4507915972554224,0.26172216669092246,0.3964915974737482,0.4366680406555016,0.4765479917063064,0.4404532460899226,0.36519196961601963,0.1944595310386016,0.39277207562387884,0.30288727668919363,0.38257441514983936,0.23440686190256288,0.4333855985432104,0.1531835681442644,0.29142394951598133,0.3896948809814999,0.4900921597212849,0.41130941454660686,0.47175415188897496
Cofsky JC,0.47163719897063433,0.21222594025932928,0.4016292802671803,0.3501868463280464,0.37013841935221137,0.9999999999999999,0.33589514117840336,0.4287984644024799,0.49131632604043335,0.7133672270213716,0.2368358313900527,0.4102483856452,0.3030274426870211,0.3678099331084757,0.4025803930592235,0.3492220699941897,0.2460470757593208,0.5410724680798372,0.3074925280182502,0.4327962634054896,0.32934653022013566,0.20336942576198525,0.22843022713565972,0.4311018998457507,0.14172305558235448,0.48545574508946504,0.3359847974237721,0.7006944760546331,0.2868121125526578,0.11207226617786595,0.4020090439766922,0.31765987065961176,0.44967879600840205,0.2779328960456684,0.44510659623790716,0.3226668261927699,0.45884259392331006,0.6425778206190225,0.5149155693293559,0.20425015190696436,0.4957539929124185,0.2820964845952411,0.5811963396308512,0.3109102538491287,0.4050640232067135,0.16498575016528258,0.17570560278370942,0.2515233510013044,0.4507112328394981,0.46082713065521247,0.7234700739887676
Coyle SM,0.28494121913988874,0.4299005076151882,0.46256428318317383,0.24235574498699203,0.394594096485203,0.33589514117840336,1.0,0.4301256955037089,0.5123733351378985,0.35052207091497967,0.25272025860319586,0.3483373319937856,0.36630718281141283,0.278650770915809,0.5236319083149149,0.4257115766325702,0.24092171607219062,0.3239169560907452,0.22821058299542024,0.6109110060115426,0.6545868964764124,0.20464383329658836,0.2373278950135432,0.38008391291949867,0.13743287422964717,0.44860504820699715,0.4228692398813335,0.3683350381462046,0.2040951914045311,0.24500830350434766,0.3220812172375526,0.4047813127061876,0.4209308556272585,0.32278057070367755,0.3078046806141285,0.44700820300254523,0.506484023944381,0.332736591214346,0.4259347946070365,0.25510723976972144,0.34665315967551863,0.20542302509571478,0.4218679856716551,0.2606154204294202,0.44996325631988543,0.15157418114177934,0.24667327653196708,0.29827603218585264,0.41217556171103154,0.48972291989327865,0.36368267832174495
Doherty EA,0.372405946773891,0.3869517454359105,0.880980033453379,0.157341076726322,0.4898140576092586,0.4287984644024799,0.4301256955037089,0.9999999999999999,0.7436972434472738,0.49571275340102783,0.30875194901218156,0.23609548561433813,0.46251313386488085,0.4300609050780536,0.513510766474746,0.4841204191792657,0.2976875173069023,0.35930751438071795,0.2580965656269383,0.3872153451548065,0.5226894074434751,0.23041602591562405,0.3546962733072329,0.5067806899179644,0.18474155158116348,0.6010366428816943,0.4540915040239633,0.45233071450487533,0.29310296069749886,0.3578627840913107,0.40217812601461234,0.37451571029339353,0.5306309643920609,0.2992891537620719,0.41229295482585065,0.5528936392929024,0.6180884715203712,0.41887629335885385,0.36433860706153476,0.27254119381762554,0.46261233203520014,0.292573066802325,0.47007127839178625,0.36096467349142175,0.5517512728283767,0.1938443085852061,0.3496953929646127,0.34770193384960957,0.5360980514033984,0.45237051546657403,0.4324152866890987
Doudna JA,0.4033431359780125,0.44491195334289557,0.7037651236861414,0.22331012709349374,0.6081385412958494,0.49131632604043335,0.5123733351378985,0.7436972434472738,0.9999999999999999,0.6274290881353841,0.3443827470435439,0.39557211497065115,0.5138858085365628,0.5468223022663945,0.6009171242365291,0.5759382546213478,0.23475522677009586,0.4100679058290684,0.2181283509399575,0.46076244402474464,0.6137073889963076,0.20896610203530505,0.40795919069155,0.6233763724785821,0.16854550951809905,0.7280706347332421,0.6209774796211468,0.549278812535582,0.30326745832810365,0.3393887560525381,0.49352296199229084,0.4232687128213335,0.6441643147593271,0.3458650094101747,0.415662061099354,0.6888318270900666,0.800418483219304,0.46771178517256573,0.4645936090893093,0.21262567430647347,0.514691919988777,0.24336473829672953,0.5830787580787531,0.34748477004752254,0.6314153773316946,0.16301936789141325,0.3556516217745953,0.3998433328863564,0.6357516535046905,0.5383007711888032,0.49956001784118265
East-Seletsky A,0.39084665479923486,0.340388740542501,0.4869451053556597,0.3965825298835896,0.4112474512492595,0.7133672270213716,0.35052207091497967,0.49571275340102783,0.6274290881353841,0.9999999999999998,0.17885126806651025,0.4995717209405126,0.41983731647146055,0.4100263965124009,0.4329869864854523,0.357133733387958,0.24624179777557056,0.5508446878771343,0.3406775750081503,0.5907912206959965,0.42624707582603544,0.1081147019802447,0.34283824253637396,0.43368205381770997,0.20325004435994232,0.6714849786211365,0.49294422072358957,0.5517875795757798,0.3008430157731703,0.21350328141691374,0.5163247259393017,0.3715739653086914,0.46262114828437906,0.2566384470792369,0.5632545680630613,0.3999033663836656,0.6264514168365651,0.5602169289898481,0.6036855702392084,0.22367013998535765,0.4202012325682549,0.2971427788242044,0.7479435715809815,0.420354057558264,0.4730660813993454,0.1760336872019689,0.21313491724502256,0.30073769417612684,0.4820670511597646,0.5358187225077918,0.5994942773325465
